商品名※必須,slug※必須,カテゴリ,サブカテゴリ,サイズ,価格※必須,ステータス,説明,並び順,画像URL,キャッチコピー,フリガナ,都道府県,市区町村,アレルギー（表示義務）,アレルギー（表示推奨）,アレルギー備考,期限種別,期限日数（日）,保管温度帯,JANコード,ケース入数,ケース入数単位,最小ロット,最小ロット単位,サンプル対応,内容量,商品タグ,対応可能数量（最大）,リードタイム,関連URL,サプライヤーID,大カテゴリ,中カテゴリ,小カテゴリ,商品コンセプト,利用シーン・おすすめ,食品表示画像,最大ロット単位,発注ケースサイズ縦 (cm),発注ケースサイズ横 (cm),発注ケースサイズ高さ (cm),発注ケース重量 (kg),国外輸出可否,販売形態,WEBサイト販売,提供可能時期,バイヤーへのメッセージ,販促ツール,関連商品ID,商品動画URL,販売事業者名,サプライヤーメール,インボイス対応,国名,価格種別,販売単位
青森の煮干し文化から生まれたキーマカレー ニボキーマカレー,,加工食品,レトルト・保存食,,1263,draft,"粗く挽いたチキンの肉肉しさと、煮干しの風味がガツンと効いた「ニボキーマカレー」。

煮干しを丸ごと粉砕して使用し、魚介の深いコクと香ばしさをベースに、じっくり煮込んだルウがチキンの旨みを引き立てます。ひと口食べれば、煮干しの風味と肉の旨みが重なり合い、思わずもう一口とスプーンが進む味わいに。お店の月替わりメニューとして登場し、その人気ぶりからレギュラー入りした逸品です。

日本人の口に合う昔ながらの欧風カレーで、お子様からご年配の方まで楽しめる、辛くないマイルドな味わいも魅力。青森の人気カフェ「JUSTINE COFFEE」で生まれ、テレビ番組『男子ごはん』でも紹介された話題のメニュー。その衝撃の味を、レトルトで手軽にお楽しみください。",1,https://drive.google.com/file/d/1thPNcTR_yO-xzmfpoqsAYx24vrX5npex/view?usp=drive_link;https://drive.google.com/file/d/1fP-5f3f5XbO4MXMn1YEF4e-PQi24fZjY/view?usp=drive_link;https://drive.google.com/file/d/19l1usCI1kQGvm_Sfs2k5m1UNtxFagvRa/view?usp=drive_link,青森の煮干し文化から生まれたキーマカレー「ニボキーマカレー」青森ご当地カレー,ニボキーマカレー,秋田県,秋田市,"小麦, 卵, 乳","牛肉, 大豆, 鶏肉, バナナ, りんご",,賞味期限,365,常温,4.58993E+12,24,個,1,ケース,対応可能,158g,,,ご注文から3〜7営業日後に発送 ただし在庫がない場合は14日程度かかる場合がありますのでご了承ください。,,d4903a5c-5451-478a-920b-048677d600b0,加工食品,レトルト・保存食,カレー,"ニボキーマカレー誕生のきっかけ 青森では、味噌汁も煮物も煮干しで出汁をとるのが日常。その煮干し文化が、洋食と出会って生まれた新名物です。

クラウドファンディングで目標の258%を達成し、第9回新東北みやげコンテストで入賞。青森発の新名物が、いよいよあなたの食卓に届きます。

粗く挽いたチキンの肉肉しさに、煮干し粉末のガツンとした旨みが重なった、インパクトのある一皿。日本人の口に合う昔ながらの欧風カレーをベースにしているため、辛すぎずマイルド。子どもから年配の方まで、家族みんなで楽しめる味に仕上げています。

JUSTINE COFFEEで月替わりメニューとしてデビューし、あまりの人気からレギュラーメニューに昇格した逸品です。","・ご飯にかける定番のキーマカレーとしてはもちろん、温泉卵やチーズをトッピングすることで、コクのある一皿としてお楽しみいただけます。

・パンやナンと合わせることで、軽食メニューやカフェでの提供にも応用しやすい商品です。

・クラフトビールやハイボールと合わせた“おつまみカレー”としての提案も可能で、食の楽しみ方の幅を広げられます。

・少量をバゲットにのせるなど、デリ風・前菜メニューとしてのアレンジにも活用でき、飲食店でのメニュー展開にも対応できます。

・ご当地性や話題性があるため、ギフトや手土産、ECでの“ちょっと珍しい一品”としても提案しやすい商品です。",https://drive.google.com/file/d/1vuir7rWGwKy7GXyCskHwQc825c7g-_lK/view?usp=drive_link,,48,30,21,5,,小売用,自社サイト,通年,"青森の食文化を象徴する「煮干し」を活かした、個性の際立つキーマカレーです。単なるご当地カレーではなく、“青森らしさ”が一口で伝わるストーリー性と独自性が、このニボキーマカレーの大きな魅力です。

煮干しの旨味をしっかりと引き出しながらも、食べやすさとのバランスに配慮して仕上げており、カレーとしての満足度もしっかり担保しています。結果として、話題性だけで終わらず、リピートにつながる商品設計となっています。テレビ番組での紹介実績もあり、一定の認知がある点も売り場展開における強みです。

■ なぜ選んでほしいか
・煮干し×キーマカレーという珍しさによる明確な差別化
・青森の食文化を感じられるストーリー性
・話題性と実売力の両立（メディア紹介実績あり）
・常温レトルトで取り扱いやすく、物販・ECともに展開しやすい

■ 合うお店・シーン
・地域性やストーリー性を重視するセレクトショップ、道の駅、土産店
・食にこだわりのある顧客層を持つカフェやライフスタイルショップ
・東北フェアやご当地カレー特集などの企画売場
・ECでの「話題性」「発見性」を重視した商品ラインナップ

“青森らしさ”を伝える売り場はもちろん、新しい食の提案をしたい売り場にもフィットする商品です。ストーリー・話題性・味のバランスを兼ね備えた一品として、ぜひご検討ください。",,,,株式会社ロル,t.p@piledesign.jp,TRUE,日本,直接入力,
落花生伽哩,,加工食品,レトルト・保存食,,600,draft,希少な千葉県産「落花生」を主な具材として使用し、千葉県産「さつまいも」と一緒に組み合わせました。さらに国内産「枇杷ピューレ」をチャツネ代わりに使い、隠し味に生クリームを使った甘旨カレーです。,2,https://drive.google.com/file/d/1Kan8Mfyvso6oq0FlWe9MXMRhV5xnpi3y/view?usp=drive_link,希少な千葉県産落花生使用,ラッカセイカリー,千葉県,茂原市,"えび, 小麦, 乳, 落花生（ピーナッツ）","牛肉, 大豆, 鶏肉, ゼラチン",卵・豚肉・バナナ,賞味期限,365,常温,4.93553E+12,30,個,1,ケース,対応不可,200ｇ,,,2営業日,,83253fc2-51a8-4f20-b672-94619b10b24a,加工食品,レトルト・保存食,,,,,,,,,,不可,小売用,自社サイト,通年,落花生を具材にした珍しいカレーです。,,,,株式会社亀屋本店,kameyahonten@kameyahonten.co.jp,TRUE,日本,直接入力,
紀の国仕立てカレー【えび・かに・しらす】,,加工食品,惣菜・煮物,,0,draft,和歌山県（紀伊水道）で水揚げされたしらすを使用しています。しらすの旨みにえびミンチとかにフレークを加えることで濃厚な魚介風味をお楽しみ頂けます。,3,,和歌山の原料を使用したカレーです,キノクニシタテカレー（エビ・カニ・シラス）,和歌山県,有田市,"えび, かに, 小麦, 乳",りんご,,賞味期限,730,常温,4.58036E+12,30,個,1,ケース,対応可能,160ｇ,無添加,,2営業日,,3119a1aa-2d12-492f-9d97-ebd868976c4d,加工食品,惣菜・煮物,レトルトカレー,,,,,,,,,不可,小売用,他社サイト,,,,,,有田食品株式会社,s.ishino@arita-foods.co.jp,TRUE,日本,オープン,
南八甲田の水で育った黒石産ニンジンのクリーミーポタージュ,,加工食品,レトルト・保存食,,600,draft,南八甲田高原（高冷地）で育った有機栽培のにんじんを使用、素材本来の旨みを引き出し、にんじんをしっかり感じる風味豊かなスープです。,4,,無添加、高冷地野菜,ミナミハッコウダノミズデソダッタクロイシサンニンジンノクリーミーポタージュ,青森県,黒石市,乳,大豆,,賞味期限,540,常温,4.58976E+12,24,個,2,ケース,要相談,180ｇ,,,3営業日,,cb61fbaa-0e10-4abb-8788-457d0b1867cc,加工食品,レトルト・保存食,スープ,,,,,20,35,39,11,相談可,小売用,他社サイト,,,,,,一般財団法人　黒石市観光開発公社,kuroishikankou@basil.ocn.ne.jp,TRUE,日本,直接入力,
南八甲田の水で育った黒石産トマトのクリーミーポタージュ,,加工食品,レトルト・保存食,,600,draft,南八甲田の伏流水で育った完熟トマトを使用、ベシャメルソースと玉ねぎソテーを合わせて、爽やかなトマトを感じる、なめらかなスープです。,5,,無添加,ミナミハッコウダモニズデソダッタクロイシサントマトノクリーミーポタージュ,青森県,黒石市,"小麦, 乳",,,賞味期限,540,常温,4.58976E+12,24,個,2,ケース,要相談,180ｇ,無添加/着色料不使用/保存料不使用/こだわり製法/ギフト対応/ふるさと納税返礼品,,3営業日,,cb61fbaa-0e10-4abb-8788-457d0b1867cc,加工食品,レトルト・保存食,スープ,,,,,20,39,35,11,相談可,小売用,他社サイト,,,,,,一般財団法人　黒石市観光開発公社,kuroishikankou@basil.ocn.ne.jp,TRUE,日本,直接入力,
南八甲田の水で育った黒石産アスパラのクリーミーポタージュ,,加工食品,レトルト・保存食,,600,draft,南八甲田の伏流水で育ったアスパラガスを、玉ねぎカブをペースト状にし、牛乳、バターを加えて、クリーミーでアスパラの風味を感じるすっきしとしたスープです。,6,,無添加,ミナミハッコウダノミズデソダッタクロイシサンアスパラノクリーミーポタージュ,青森県,黒石市,"小麦, 乳","ごま, 大豆",,賞味期限,540,常温,4.58976E+12,24,個,2,ケース,要相談,180ｇ,無添加/ギフト対応/ふるさと納税返礼品,,3営業日,,cb61fbaa-0e10-4abb-8788-457d0b1867cc,加工食品,レトルト・保存食,スープ,,,,,20,39,35,11,相談可,小売用,他社サイト,,,,,,一般財団法人　黒石市観光開発公社,kuroishikankou@basil.ocn.ne.jp,TRUE,日本,直接入力,
南八甲田の水で育った黒石産コーンのクリーミーポタージュ,,加工食品,レトルト・保存食,,600,draft,南八甲田高原（高冷地）で育った「わどなのコーン」を使用した、素材本来の旨みを引き出し、コーンのつぶつぶを感じる甘みを抑えたスープです。,7,,高冷地野菜,ミナミハッコウダノミズデソダッタクロイシサンコーンノクリーミーポタージュ,青森県,黒石市,"小麦, 乳",大豆,,賞味期限,540,常温,4.58976E+12,24,個,2,ケース,要相談,180ｇ,無添加/ギフト対応/ふるさと納税返礼品,,3営業日,,cb61fbaa-0e10-4abb-8788-457d0b1867cc,加工食品,レトルト・保存食,スープ,,,,,20,39,35,11,相談可,小売用,他社サイト,,,,,,一般財団法人　黒石市観光開発公社,kuroishikankou@basil.ocn.ne.jp,TRUE,日本,直接入力,
南八甲田の水で育った黒石産毛豆のクリーミーポタージュ,,加工食品,レトルト・保存食,,731,draft,南八甲田の伏流水で育った毛豆（えだまめ）を使用し、毛豆の風味をより強く感じてもらうため、殻ごと粉砕して仕上げた濃厚なスープです。,8,,無添加,ミナミハッコウダノミズデソダッタクロイシサンケマメノクリーミーポタージュ,青森県,黒石市,"小麦, 乳",大豆,,賞味期限,540,常温,4.58976E+12,24,個,2,ケース,要相談,180ｇ,無添加/ギフト対応/ふるさと納税返礼品,,3営業日,,cb61fbaa-0e10-4abb-8788-457d0b1867cc,加工食品,レトルト・保存食,スープ,,,,,20,39,35,11,相談可,小売用,他社サイト,,,,,,一般財団法人　黒石市観光開発公社,kuroishikankou@basil.ocn.ne.jp,TRUE,日本,直接入力,
黒毛和牛極とろカレー,,加工食品,レトルト・保存食,,1100,draft,"FOODEX　JAPAN ２０１４
第１回　ご当地レトルトコンテスト　グランプリ最高金賞受賞！　　
本製品はご当地レトルトグランプリ日本一を受賞した弊社自慢のカレーです。
黒毛和牛の赤身を贅沢に使用し、自社調合のスパイスを加えた自家製ルーとデミグラスソースで仕上げました。
大切な方への贈り物や不意のお客様へはもちろん、時には自分へのご褒美、特別な日のご馳走としてもきっとご満足いただける贅沢な欧州風ビーフカレーです。",9,https://drive.google.com/file/d/1usGdgIrMQ2528qtkJ1nSsJoEzvHceujt/view?usp=drive_link;https://drive.google.com/file/d/1Jql59Xi0PbNkWpA_-SSZnOLSfySVYRUg/view?usp=drive_link;https://drive.google.com/file/d/1u7ynnmRLdasWII4BY4-tU-dsosJsCwPZ/view?usp=drive_link,黒毛和牛の旨みがとろける、濃厚なコクと深い味わいを追求した贅沢な欧風ビーフカレー,ｸﾛｹﾞﾜｷﾞｭｳｺﾞｸﾄﾛｶﾚｰ,山形県,米沢市,"小麦, 乳","牛肉, 大豆, 鶏肉, バナナ, 豚肉, りんご, ゼラチン",本製品の製造ラインでは、えび、かに、小麦、そば、卵、乳、いか、牛肉、ごま、さけ、さば、大豆、鶏肉、バナナ、豚肉、りんご、ゼラチンを含む製品を生産しています。,賞味期限,365,常温,4.93847E+12,50,個,50,ケース,要相談,200ｇ,こだわり製法/ギフト対応/まとめ買い対応,,5営業日,,9c49f8cd-3ae7-4472-80a3-c18884ba3dfa,加工食品,レトルト・保存食,カレー,"「みやさかや 黒毛和牛極とろカレー」は、“ご当地レトルトの枠を超えた本格欧風カレー”を目指して開発されたプレミアム商品です。

黒毛和牛の赤身肉を贅沢に使用し、素材の旨みを最大限に引き出すため、じっくりと時間をかけて煮込み、とろけるような食感と深いコクを実現しました。自社で調合したスパイスとデミグラスソースをベースに、重層的な味わいに仕上げています。

また、「FOODEX JAPAN 2014 第1回ご当地レトルトコンテスト」にてグランプリ最高金賞を受賞した実績を持ち、品質と味わいの両面で高い評価をいただいています。

山形の食文化と素材の良さを活かし、“特別な日のご馳走”や“贅沢なご褒美”として選ばれることをコンセプトにした一品です。","ご自宅でのちょっと贅沢な食事や、特別な日のディナー、ご褒美グルメとしておすすめです。黒毛和牛のコク深い味わいを、温めるだけで手軽に楽しめます。

また、常温保存が可能なため、非常食やストック食品としても便利で、忙しい日のランチにも重宝します。

さらに、上質感のある味わいと受賞歴による安心感から、ギフトやお中元・お歳暮などの贈答用としても最適です。観光土産や詰め合わせセットにも展開しやすい商品です。",https://drive.google.com/file/d/1-4eZeRRYJM1D3LmaWjmPEMjNrz3CJkjJ/view?usp=drive_link,,,,,,相談可,小売・業務用,自社サイト,通年,"「みやさかや 黒毛和牛極とろカレー」は、「FOODEX JAPAN 2014 第1回ご当地レトルトコンテスト」にてグランプリ最高金賞を受賞した、当社を代表するプレミアムレトルトカレーです。

黒毛和牛の赤身肉を贅沢に使用し、自社で調合したスパイスとコク深いデミグラスソースでじっくり煮込むことで、“極とろ”の名にふさわしい濃厚で深みのある味わいに仕上げています。

確かな受賞歴と高い品質により、ギフト・贈答用としての信頼性が高く、お中元・お歳暮・観光土産・百貨店催事など幅広い売場でご提案いただけます。

また「特別な日のご馳走」や「自分へのご褒美」といった需要にも対応でき、単価アップや付加価値提案につながる商品として最適です。",,,,株式会社タスクフーズ,s.monma@koi-miyasaka.com,TRUE,日本,直接入力,
黒毛和牛極旨カレー,,加工食品,レトルト・保存食,,650,draft,"自社調合の特製ルーに濃厚なデミグラスソースを加え、さわやかなトマトの酸味を隠し味にした欧風のカレーです。
生でも食べられるほどの品質の山形県舟形町産フレッシュマッシュルームと、山形県が検査した安心・安全な黒毛和牛を使用するなど原材料にこだわりました。
マッシュルームの風味と、柔らかく煮込まれた黒毛和牛が絶妙なバランスです。やや甘口のカレーですので、幅広い層の方々にご満足いただける商品です。
",10,https://drive.google.com/file/d/1gmHOp6aFK-3oSt4uMbO20j_CX7QcLgJR/view?usp=drive_link;https://drive.google.com/file/d/1ucD2eTjHSeT0zx0bn9IbQWnv6Ya6cx67/view?usp=drive_link,山形県産フレッシュマッシュルームと黒毛和牛の旨味を引き出した欧風ビーフカレー,ｸﾛｹﾞﾜｷﾞｭｳｺﾞｸｳﾏｶﾚｰ,山形県,山形市,"小麦, 乳","牛肉, 大豆, 鶏肉, バナナ, 豚肉, りんご, ゼラチン",本製品の製造ラインでは、えび、かに、小麦、そば、卵、乳、いか、牛肉、ごま、さけ。さば、大豆、鶏肉、バナナ、豚肉、りんご、ゼラチンを含む製品を生産しています。,賞味期限,365,常温,4.93847E+12,50,個,50,ケース,対応可能,180ｇ,こだわり製法/まとめ買い対応,,5営業日,,9c49f8cd-3ae7-4472-80a3-c18884ba3dfa,加工食品,レトルト・保存食,カレー,"山形の素材にこだわって仕上げた、本格欧風カレーです。自社調合の特製ルーに濃厚なデミグラスソースを加え、隠し味にトマトの爽やかな酸味を効かせることで、コクとバランスの取れた味わいに仕上げています。

原材料には、生でも食べられるほどの高い品質を誇る山形県舟形町産フレッシュマッシュルームを使用。芳醇な香りと旨みがカレー全体に広がり、味に奥行きを与えています。さらに、山形県の検査を受けた安心・安全な黒毛和牛を使用し、じっくり煮込むことでやわらかな肉質と深いコクを引き出しました。

やや甘口の味わいで幅広い層に受け入れられやすく、日常使いからギフトまで対応できる、素材と品質にこだわった一品です。","ご自宅での普段の食事はもちろん、少し贅沢を楽しみたい日の夕食や来客時のおもてなしメニューとしておすすめです。やや甘口で食べやすく、幅広い年代のお客様に対応できます。

温めるだけで手軽に提供できるため、忙しい日のランチやストック食品としても最適です。常温保存が可能で、アウトドアや非常食用途にも活用いただけます。

また、山形県産素材（舟形町産マッシュルーム）を使用したご当地性のある商品として、ギフトや観光土産、フェア企画にも適しており、売場の付加価値向上や差別化にもつながります。",https://drive.google.com/file/d/1-mHwY5du2yqHH7z_uF9Ji2rA9fIMHzZD/view?usp=drive_link,,,,,,相談可,小売・業務用,自社サイト,通年,"「黒毛和牛極旨カレー」は、黒毛和牛の旨みをしっかりと感じられる、満足感の高いレトルトビーフカレーです。濃厚なコクと食べ応えのある仕上がりで、一般的なレトルトカレーとの差別化がしやすい商品です。

手軽に“ちょっと贅沢”を楽しめる価格帯と品質のバランスが良く、スーパーのレトルト売場はもちろん、道の駅・観光売店・ホテル売店など幅広い販路で展開しやすい商材です。

また、黒毛和牛を使用した付加価値の高い商品として、ギフトやフェア企画（ご当地・贅沢グルメなど）にも対応可能で、売場の単価アップや品揃え強化に貢献できます。

日常使いからプチ贅沢需要まで幅広くカバーできる、“売りやすさ”と“満足度”を兼ね備えた一品としてぜひご検討ください。",,,,株式会社タスクフーズ,s.monma@koi-miyasaka.com,TRUE,日本,直接入力,
