id,商品名,slug,カテゴリ,サブカテゴリ,サイズ,価格,ステータス,説明,並び順,画像URL,在庫数,SKU,キャッチコピー,フリガナ,都道府県,市区町村,アレルギー（表示義務）,アレルギー（表示推奨）,アレルギー備考,期限種別,期限日数（日）,保管温度帯,JANコード,ケース入数,ケース入数単位,最小ロット,最小ロット単位,サンプル対応,内容量,商品タグ,対応可能数量（最大）,リードタイム,関連URL,サプライヤーID,大カテゴリ,中カテゴリ,小カテゴリ,商品コンセプト,利用シーン・おすすめ,食品表示画像,最大ロット単位,発注ケースサイズ縦 (cm),発注ケースサイズ横 (cm),発注ケースサイズ高さ (cm),発注ケース重量 (kg),国外輸出可否,販売形態,WEBサイト販売,提供可能時期,バイヤーへのメッセージ,販促ツール,関連商品ID,商品動画URL,販売事業者名,サプライヤーメール,インボイス対応,国名,価格種別,販売単位
c1791817-cb85-438e-9e77-4060c868ea6a,再テスト,再テスト-mqgqizal2d8y,,,,3,archived,,1,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/c1791817-cb85-438e-9e77-4060c868ea6a/1781620733309-z4reyj.webp,1,SKU-1781619965230,再テスト,サイテスト,栃木県,下野市,えび,オレンジ,,賞味期限,2,冷凍,="0000000000000000000",1,1,1,1,対応不可,再テスト,グルテンフリー,1,再テスト,,d3a4f20c-e600-431d-9164-c97cced16b62,飲料・酒類,酒類,日本酒,再テスト,再テスト,"[""https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/c664ec86-f3b7-4c94-9485-075b7a691d83/1781619853377-yvfxkn.webp""]",1,1,1,1,1,不可,小売用,自社サイト,1,,,"[""8811e02b-dcf1-49dc-bc0a-14c5ebb36a41"",""d9fdfee6-831f-49cc-80e7-8b0457a4d8d3""]",https://www.youtube.com/watch?v=mpZ1_XHoFWk,Roub最終テスト用　プレミアム,ddd@ddd.com,false,,直接入力,個
83ec899e-64bf-40d4-a885-17939b117bfc,ピンクわさび　華貴婦人　18g,ピンクわさび-華貴婦人-18g,,,,1080,published,,2,https://lh3.googleusercontent.com/d/1m8Xvpl-vIW2ddSNPmQUP1rEsSFXLx_jv=w1600,1,c664ec86-ピンクわさび-華貴婦人-18g,見た目は鮮やか㋐ピンク色をしていますが、味は本格的に仕上げています。一口お召し上がりいただいた時に、見た目と味のギャップに驚かれること間違いありません。,ピンクワサビ　ハナキフジン　18グラム,,,,,,賞味期限,730,,4.56224E+12,,個,34,個,,,国産原料/こだわり製法/職人仕上げ,,５営業日,,172d5f7e-15ec-4951-9de9-9d5e138cacfb,,,,,,,,,,,,,,,,,,,,,,,日本,,
6ec18292-a360-4971-a771-367ba9c60b4b,岩国海軍飛行艇カレー 3個セット,岩国海軍飛行艇カレー-3個セット,,,,1510,published,,3,https://lh3.googleusercontent.com/d/1ep89WlSwRynW8i6FmUPptTtGPJKBYiBx=w1600,1,c664ec86-岩国海軍飛行艇カレー-3個セット,岩国海軍飛行艇カレーの３個セット、価格帯・内容の充実など、お土産等に最適です。,イワクニカイグンヒコウテイカレー３コセット,,,乳,"牛肉, 豚肉, りんご, ゼラチン",,賞味期限,730,,4.57137E+12,,個,1,セット,,,,,３営業日,,4c1b8d31-8502-481e-b5fc-7f885fd586bc,,,,,,,,,,,,,,,,,,,,,,,日本,,
fb245357-7988-4df7-afbe-343cdba58291,玉ねぎと鶏もも肉の黒カレー,玉ねぎと鶏もも肉の黒カレー,,,,600,published,,4,,1,c664ec86-玉ねぎと鶏もも肉の黒カレー,北海道JAきたみらい産の「玉ねぎ」,タマネギトトリモモニクノクロカレー,,,"小麦, 乳","牛肉, ごま, 大豆, 鶏肉, 豚肉, りんご",,賞味期限,730,,4.5604E+12,,箱,2,ケース,,,着色料不使用/保存料不使用/国産原料/ギフト対応/まとめ買い対応,,2〜5営業日,,5cc285ee-f886-40a8-897c-f1526a6f5dc8,,,,,,,,,,,,,,,,,,,,,,,日本,,
0839fd14-3c61-4d08-9574-7ec40064eb17,玉ねぎせんべい,玉ねぎせんべい,,,,750,published,,5,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/1a183467-2266-4abf-a66e-215cb423ae2c/1778429515440-vevibe.jpeg,1,c664ec86-玉ねぎせんべい,生産量日本一のJAきたみらい産「玉ねぎ」を気軽に食べやすいせんべいにしました。,タマネギセンベイ,,,"えび, かに, 小麦, 乳","大豆, 鶏肉",,賞味期限,210,,4.5604E+12,,箱,2,ケース,,,着色料不使用/保存料不使用/国産原料/ギフト対応/まとめ買い対応,,2～5営業日,,5cc285ee-f886-40a8-897c-f1526a6f5dc8,,,,,,,,,,,,,,,,,,,,,,,日本,,
037199bc-f20e-4cfb-ae5f-f2d9f24a94c4,岡山 和牛カレー,岡山-和牛カレー-1,,,,899,published,,6,,1,c664ec86-岡山-和牛カレー-1,黒毛和牛の銘牛『千屋牛』と地元名産の完熟桃太郎トマトの深い味わいのカレー,オカヤマ　ワギュウカレー,,,"小麦, 乳","牛肉, 大豆, 豚肉, りんご",本品製造ラインでは乳成分、小麦、落花生、えび、かに、牛肉、鶏肉、豚肉、ゼラチン、大豆、やまいも、バナナ、もも、ごま、りんご、いか、さけ、さばを含む製品を製造しています。,賞味期限,365,,,,個,2,ケース,,,こだわり製法,,3営業日,,46f40ee0-5e7c-43ee-be33-09c0f150b91c,,,,,,,,,,,,,,,,,,,,,,,,,
9a5db83b-c103-4276-9262-f82415cb701f,牧草牛のビーフジャーキー,牧草牛のビーフジャーキー-1,,,,700,published,,7,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/908ce785-9308-4ebb-affd-d4a3f493cf35/1778429188863-msnjf4.jpeg,1,c664ec86-牧草牛のビーフジャーキー-1,"自家製の味噌だれ漬け
うま味調味料不使用",ボクソウギュウノビーフジャーキー,,,"小麦, 落花生（ピーナッツ）","牛肉, ごま, 大豆, りんご",,賞味期限,180,,,,個,1,ケース,,,,,3営業日,,deeaa6a8-914e-4953-8525-dc3b726c5d4b,,,,,,,,,,,,,,,,,,,,,,,,,
d202a34d-e253-4ee7-aa5a-e41b0201b738,米沢牛麻婆豆腐,米沢牛麻婆豆腐-1,,,,500,published,,8,https://lh3.googleusercontent.com/d/1D8ZNPTEgfVU6kvr9c4oscToRkhDtHTy1=w1600,1,c664ec86-米沢牛麻婆豆腐-1,素材・味にこだわりぬいた本格麻婆の素,ヨネザワギュウマーボードウフ,,,"小麦, 乳","牛肉, ごま, 大豆, 鶏肉",本製品の製造ラインでは、えび、かに、小麦、そば、卵、乳、いか、牛肉、ごま、さけ、さば、大豆、鶏肉、バナナ、豚肉、りんご、ゼラチンを含む製品を生産しています。,賞味期限,365,,,,個,50,個,,,"こだわり製法, 手作り, まとめ買い対応, ふるさと納税返礼品",,７営業日,,9c49f8cd-3ae7-4472-80a3-c18884ba3dfa,,,,,,,,,,,,,,,,,,,,,,,,,
e0d22cdd-41de-447b-9881-4dc9dfb3136f,くじら大和煮,くじら大和煮-1,,,,500,published,,9,,1,c664ec86-くじら大和煮-1,しょうゆ、砂糖、生姜などのシンプルな味付けながらしっかりとした味で美味しい！,クジラヤマトニ,,,小麦,大豆,,賞味期限,365,,,,袋,2,ケース,,,職人仕上げ,,5営業日,,e0ffec33-678c-40b0-8f34-91e43ede355f,,,,,,,,,,,,,,,,,,,,,,,,,
d6ae6df7-9acb-43f6-8936-aa24c60426e9,横須賀海自カレー 掃海艦はちじょうポークカレー,横須賀海自カレー-掃海艦はちじょうポークカレー-1,,,,600,published,,10,https://lh3.googleusercontent.com/d/1e97oXacKHCXQrBW9RUnHDOBhElOG35iU=w1600,1,c664ec86-横須賀海自カレー-掃海艦はちじょうポークカレー-1,自衛隊の協力のもと、各艦の給養員長から提供していただいたレシピを地元のカレー店が忠実に再現した「横須賀海上自衛隊カレー」。,ヨコスカカイジカレーソウカイカンハチジョウポークカレー,,,"小麦, 乳","牛肉, ごま, 大豆, 鶏肉, 豚肉, りんご",,賞味期限,730,,,,個,2,ケース,,,,,3営業日,,c0204dcb-ed2c-4fdb-bad5-2b7ad917d128,,,,,,,,,,,,,,,,,,,,,,,,,
