商品名※必須,slug※必須,カテゴリ,サブカテゴリ,サイズ,価格※必須,ステータス,説明,並び順,画像URL,キャッチコピー,フリガナ,都道府県,市区町村,アレルギー（表示義務）,アレルギー（表示推奨）,アレルギー備考,期限種別,期限日数（日）,保管温度帯,JANコード,ケース入数,ケース入数単位,最小ロット,最小ロット単位,サンプル対応,内容量,商品タグ,対応可能数量（最大）,リードタイム,関連URL,サプライヤーID,大カテゴリ,中カテゴリ,小カテゴリ,商品コンセプト,利用シーン・おすすめ,食品表示画像,最大ロット単位,発注ケースサイズ縦 (cm),発注ケースサイズ横 (cm),発注ケースサイズ高さ (cm),発注ケース重量 (kg),国外輸出可否,販売形態,WEBサイト販売,提供可能時期,バイヤーへのメッセージ,販促ツール,関連商品ID,商品動画URL,販売事業者名,サプライヤーメール,インボイス対応,国名,価格種別,販売単位
チキンボールスープカレー,チキンボールスープカレー-1,加工食品,レトルト・保存食,,0,published,"ふんわり食感のチキンボールに、スパイス香るスープを合わせた食べやすいスープカレー。
比内地鶏の旨みがスープに広がり、やさしい味わいながらも満足感のある一皿です。",8,https://drive.google.com/file/d/1tEkytz4LELw6bgxZ3sCCeeAlzK2uZ85t/view?usp=drive_link;https://drive.google.com/file/d/11snF0QwS-XbJKMiC_QGr5NfGUjDgrS_F/view?usp=drive_link,ふんわりチキンボールに、スパイス香る濃厚スープ。 食べやすくて満足できる、やさしいごちそうスープカレー。,チキンボールスープカレー,秋田県,秋田市,,鶏肉,,賞味期限,365,常温,,40,個,1,ケース,対応可能,200ｇ,"砂糖不使用, 着色料不使用, 保存料不使用, 国産原料, 手作り, 新商品",,5～14日,,fd27be64-9a52-4595-b546-b3cc0b6f37db,加工食品,レトルト・保存食,レトルトスープカレー,,,https://drive.google.com/file/d/1ydODO6lROeSc1sUEHAjEXT2dr395Y-EL/view?usp=drive_link,,,,,,,小売用,自社サイトで販売中,,"SoupCurryGaneshより、
「チキンボールスープカレー」をご提案いたします。

ふんわり食感のチキンボールと、スパイス香るスープを合わせた、食べやすく満足感のあるスープカレーです。

お子さまから大人まで楽しみやすく、電子レンジで手軽に専門店の味を楽しめるため、日常使いできる惣菜としておすすめです。

食品売場の新しい一品として、ぜひお取り扱いをご検討いただけますと幸いです。",,,,Soup Curry Ganesh,ganesh.soupcurry@gmail.com,TRUE,,オープン,
グリルチキンスープカレー,グリルチキンスープカレー-1,加工食品,レトルト・保存食,,0,published,"香ばしく焼き上げたグリルチキンと、比内地鶏仕込みの濃厚スープ。
スパイスの香りと野菜の彩りを、電子レンジで手軽に楽しめる本格スープカレーです。",6,https://drive.google.com/file/d/1pNbBuFJl9j03Q6usz1iZZZbNG8UZpEb1/view?usp=drive_link;https://drive.google.com/file/d/1X73rximi4EnSh6Id7fbM52hZshb0JuF8/view?usp=drive_link,香ばしく焼き上げたチキンに、比内地鶏仕込みの濃厚スープ。,グリルチキンスープカレー,秋田県,秋田市,,鶏肉,,賞味期限,365,常温,,40,個,1,ケース,対応可能,200ｇ,"グルテンフリー, 砂糖不使用, 着色料不使用, 保存料不使用, 手作り, 新商品",,5～14日,,fd27be64-9a52-4595-b546-b3cc0b6f37db,加工食品,レトルト・保存食,レトルトスープカレー,,,https://drive.google.com/file/d/1dw4uFlh82nbh8T7DTVUvFzmUgoUQ4818/view?usp=drive_link,,,,,,不可,小売用,自社サイトで販売中,,"SoupCurryGaneshの人気メニューを商品化した
「グリルチキンスープカレー」をご提案いたします。

香ばしく焼き上げたチキンと、比内地鶏仕込みの濃厚スープを合わせた、専門店ならではの本格スープカレーです。

電子レンジで手軽に楽しめる満足感があり、ご当地グルメ売場にも展開しやすい商品です。

秋田発のスープカレー専門店が作る、こだわりのスープカレーとして、ぜひお取り扱いをご検討いただけますと幸いです。",,,,Soup Curry Ganesh,ganesh.soupcurry@gmail.com,TRUE,,オープン,
鶏ひき肉とお豆スープカレー,鶏ひき肉とお豆スープカレー-1,加工食品,レトルト・保存食,,0,published,"鶏ひき肉の旨みと、お豆のほくほく食感を合わせた、やさしい味わいのスープカレー。
軽やかに食べられるのに満足感があり、日々の食事にも取り入れやすい一皿です。",7,https://drive.google.com/file/d/1Hu1whMzlC-AFCZOBzjZQlEXhJC-7pwzp/view?usp=drive_link;https://drive.google.com/file/d/1-46tZYGXfMUaDnRBs4hOZeHbI4H3gOlt/view?usp=drive_link,ほろっと鶏ひき肉、ほくほくお豆。 やさしい旨みが広がる、からだ想いのスープカレー。,トリヒキニクトオマメスープカレー,秋田県,秋田市,,鶏肉,,賞味期限,365,常温,,40,個,1,ケース,対応可能,200ｇ,"砂糖不使用, 着色料不使用, 保存料不使用, 国産原料, 手作り, 新商品",,5～14日,,fd27be64-9a52-4595-b546-b3cc0b6f37db,加工食品,レトルト・保存食,,,,https://drive.google.com/file/d/1eqaI72cCDoWmmigJL6W6Oq4npMMgr0ZX/view?usp=drive_link,,,,,,,小売用,自社サイトで販売中,,"SoupCurryGaneshより、
「鶏ひき肉とお豆のスープカレー」をご提案いたします。

鶏ひき肉の旨みと、お豆のほくほく食感を合わせた、やさしく食べやすいスープカレーです。

電子レンジで手軽に楽しめるため、忙しい日の食事や、健康感のある惣菜をお探しのお客様にもおすすめしやすい商品です。

日常使いしやすい専門店品質のスープカレーとして、ぜひお取り扱いをご検討いただけますと幸いです。",,,,Soup Curry Ganesh,ganesh.soupcurry@gmail.com,TRUE,,オープン,
しいたけ屋が本気でうなった旨だしつゆ,しいたけ屋が本気でうなった旨だしつゆ-1,,,,0,published,大分県産原木乾椎茸、鰹、昆布でだしをとり、こだわりの濃口醤油をベースにした万能だしつゆです。第15回調味料選手権で地域の味ベスト賞を受賞しました。,2,,,,,,,,,賞味期限,365,常温,,,,,,,,,,3営業日,,48946663-090e-4bd9-8cef-949b2ffd6e76,,,,,,,,,,,,,,,,,,,,茂里商店,mori@mori-shouten.co.jp,,,オープン,
大分県産うまみ冬50g,大分県産うまみ冬50g-1,,,,0,published,,13,,,,,,,,,賞味期限,365,常温,,30,個,1,ケース,,,,,3営業日,,48946663-090e-4bd9-8cef-949b2ffd6e76,,,,,,,,,,,,,,,,,,,,茂里商店,mori@mori-shouten.co.jp,,,オープン,
椎茸かぼす塩,椎茸かぼす塩-1,,,,0,published,全国乾椎茸品評会で20年連続団体優勝を誇る大分県の主産地、豊後大野市乾椎茸の傘の部分を粉末にし、大分名産のかぼすとコラボした万能調味料です。料理の仕上げや、肉・魚料理・サラダ・天ぷらの付け塩など、様々な料理にご使用ください。,6,,,,,,,,,賞味期限,365,常温,,30,個,1,ケース,,,,,3営業日,,48946663-090e-4bd9-8cef-949b2ffd6e76,,,,,,,,,,,,,,,,,,,,茂里商店,mori@mori-shouten.co.jp,,,オープン,
椎茸かぼすペッパー,椎茸かぼすペッパー-1,,,,0,published,全国乾椎茸品評会で20年連続団体優勝を誇る大分県の主産地、豊後大野市乾椎茸の傘の部分を粉末にし、大分名産のかぼすとコラボした万能調味料です。料理の仕上げや、肉・魚料理・サラダ・天ぷらの付け塩など、様々な料理にご使用ください。,7,,,,,,,,,賞味期限,365,常温,,30,個,1,ケース,,,,,3営業日,,48946663-090e-4bd9-8cef-949b2ffd6e76,,,,,,,,,,,,,,,,,,,,茂里商店,mori@mori-shouten.co.jp,,,オープン,
しいたけ農家のクリームパスタソース,しいたけ農家のクリームパスタソース-1,,,,0,published,ブランド椎茸「うまみだけ」を使用したパスタソース。しいたけの旨味とチーズのコクがパスタに絡む濃厚豆乳仕立てのクリームパスタソースに仕上げました。,11,,,,,,,,,賞味期限,540,常温,,30,個,1,ケース,,,,,3営業日,,48946663-090e-4bd9-8cef-949b2ffd6e76,,,,,,,,,,,,,,,,,,,,茂里商店,mori@mori-shouten.co.jp,,,オープン,
万能椎茸だし,万能椎茸だし-1,,,,0,published,調味料選手権２０１８で審査員特別賞　『イイ味覚賞』を受賞。,8,,,,,,,,,賞味期限,365,常温,,50,個,1,ケース,,,,,3営業日,,48946663-090e-4bd9-8cef-949b2ffd6e76,,,,,,,,,,,,,,,,,,,,茂里商店,mori@mori-shouten.co.jp,,,オープン,
香ばしいUMAMI椎茸パウダー,香ばしいumami椎茸パウダー-1,,,,0,published,日本一の生産量と品質を誇る大分県産原木椎茸の実の部分だけを贅沢に使用。個包装で、使う分だけ振りかけられます。汁物や麺類、煮物のお出汁、「すぐ食べられるダシ」として野菜サラダや冷や奴、炒め物、酢の物にそのまま振りかけても美味しく召し上がれます。,9,,,,,,,,,賞味期限,365,常温,,30,個,1,ケース,,,,,3営業日,,48946663-090e-4bd9-8cef-949b2ffd6e76,,,,,,,,,,,,,,,,,,,,茂里商店,mori@mori-shouten.co.jp,,,オープン,
